iteration,operator,destroy_operator,repair_operator,accepted,temperature,route_count,current_route_count,hard_violations,weighted_tardiness,makespan_s,energy_kwh,current_hard_violations,current_weighted_tardiness,current_makespan_s,current_energy_kwh,destroy_weights,repair_weights
38,alns,worst_routes,regret2,False,1085044.3539722108,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
39,alns,random_routes,regret2,False,1074193.9104324887,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
40,alns,random_routes,regret2,False,1063451.9713281638,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
41,alns,related_routes,regret2,False,1052817.451614882,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
42,alns,random_routes,greedy,False,1042289.2770987332,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
43,alns,related_routes,regret2,False,1031866.3843277459,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
44,alns,random_routes,greedy,False,1021547.7204844684,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
45,alns,related_routes,regret2,False,1011332.2432796237,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
46,alns,random_routes,greedy,False,1001218.9208468274,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
47,alns,worst_routes,regret2,False,991206.7316383591,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.461,related_routes=0.474,worst_routes=0.410","greedy=0.435,regret2=0.427"
